objectid,filename,type,format,Signatura,title,Data,Descrición,subject,Idioma,Licenza,Comentario,Data_dix,youtubeid,vimeoid
id000001,id000001.pdf,Image;StillImage,application/pdf,pg_9_12_01bl,Reglamentación de trabajo en la Empresa Nacional Bazán,1960,,regulamento;Bazán,Castelán,Reconocimiento-CompartirIgual 4.0 Internacional (CC BY-SA 4.0) https://creativecommons.org/licenses/by-sa/4.0/deed.es_ES,Proba comentario,12/2/2018,,
id000002,id000002.jpg,Image;StillImage,image/jpeg,"Vol.079-210-1.2.1.-Alb.Varios 73-80,M-22,Vista Factoría,21-7-75",Vista área Astaleiro Ferrol,21/7/1975,,vista aérea;Ferrol,,Reconocimiento-CompartirIgual 4.0 Internacional (CC BY-SA 4.0),Proba comentario,12/2/2018,,
id000003,id000003.jpg,Image;StillImage,image/jpeg,"Vol.085-002-1.6.-Alb.Varios,FN 20091,Office Cocina del personal.,2-2-81",Office cociña do personal,2/2/1981,,Cociña;Ferrol,,Reconocimiento-CompartirIgual 4.0 Internacional (CC BY-SA 4.0),Proba comentario,12/2/2018,,
id000004,id000004.jpg,Image;StillImage,image/jpeg,"Vol.085-003-1.6.-Alb.Varios,FN 20093,Enfermería,Sala de Reconocimiento,2-2-81",Enfermaría - Sala de Recoñecemento,2/2/1981,,Enfermaría;Ferrol,,Reconocimiento-CompartirIgual 4.0 Internacional (CC BY-SA 4.0),Proba comentario,12/2/2018,,
